n,s,t,fw_obj,fw_gap,fw_k,fw_runtime,fwls_obj,fwls_gap,fwls_k,fwls_runtime,asfw_obj,asfw_gap,asfw_k,asfw_runtime,asfwls_obj,asfwls_gap,asfwls_k,asfwls_runtime,pwfw_obj,pwfw_gap,pwfw_k,pwfw_runtime,pwfwls_obj,pwfwls_gap,pwfwls_k,pwfwls_runtime,spectral_bound_val
63,40,11,-9.647840746989685,0.0009652983000909475,59,0.0490776,-9.647053474153086,0.0007551173390064883,5,0.0695794,-9.64716199482761,0.0009544601460679789,10,0.0073528,-9.647117802399267,0.0009260390223422149,9,0.1810071,-9.647002199539633,0.000998056569741973,6,0.0041284,-9.646975837304502,0.00043936619884560324,7,0.1447482,-13.611394571299225
63,40,12,-11.62950578540707,0.0009635995971011374,60,0.0497624,-11.628933010988026,0.0006834988651479587,4,0.0533355,-11.628645501334663,0.0008223492664991483,11,0.0078565,-11.628639644251727,0.0007707754600091068,10,0.3292887,-11.628585523905064,0.0006175870374811598,11,0.0190699,-11.628585675551223,0.0003556953634755722,8,0.1988756,-15.596719659230557
63,40,13,-13.701361594387212,0.0009676767758277254,62,0.0609406,-13.700611786616317,0.00036799370816508636,4,0.0823915,-13.700464994527634,0.000772946689065675,21,0.0262956,-13.700483306574593,0.0008994002611804321,12,0.2983688,-13.700421737266435,4.7351677467194486e-5,13,0.0146656,-13.700450858595907,0.0007989485047208145,11,0.251031,-17.65888466905405
63,40,14,-15.852578239208398,0.0009506480488230993,65,0.0781506,-15.851677018781466,0.0004436874028490631,3,0.0678892,-15.85168026310422,0.0003142559573710312,25,0.0225043,-15.851678501948324,0.00047812230591712446,13,0.2702331,-15.851678861456627,0.0009006533171492803,21,0.0172739,-15.851675530729919,0.00036958280960824874,15,0.3307394,-19.74714859574056
63,40,15,-18.075289063251972,0.0009194333332605728,69,0.0787404,-18.074468291692167,0.00040119955463248873,4,0.058781,-18.074440120585322,0.0005181277240538653,16,0.0127518,-18.07443203284658,0.00011722356715656582,13,0.2934873,-18.07445357662667,0.0009959795252913184,35,0.0447103,-18.074433607917378,0.000604886706866592,14,0.2562713,-21.841289542111998
63,40,16,-20.366607863878258,0.000998878630506257,69,0.068182,-20.36632105839443,0.0009205501805597814,12,0.1213883,-20.365706807915885,0.0009578643442183126,13,0.0125146,-20.365713152180437,0.0003085469545170898,16,0.2504112,-20.365698827787533,0.0008937369492429403,20,0.0190577,-20.365693582040823,0.0005408197253805036,13,0.2962914,-23.99257877570952
63,40,17,-22.71954636794441,0.000821563265608743,78,0.0796252,-22.719139131699432,0.0008778780812434068,9,0.1000218,-22.718801165005,0.0007507459641500027,27,0.0198045,-22.718794402266077,0.0003837883446560895,25,0.3647277,-22.718798043668595,0.0009846255560633788,30,0.0274016,-22.71880257768092,0.0008360160918359782,21,0.4123721,-26.190356808417754
63,40,18,-25.129409924367508,0.0008491551612881689,87,0.087889,-25.128930418565027,0.000897340624824314,7,0.0949617,-25.128872627841066,0.0008524044269783672,41,0.035272,-25.128792112593963,0.0007720898891941386,17,0.3474496,-25.12876881790828,0.0008465083064383427,74,0.0538595,-25.128768603234057,0.00048607743117828894,18,0.30303,-28.45198263604191
63,40,19,-27.59531956010001,0.000979911345110155,85,0.0782104,-27.59520890105883,0.0009643495203451745,27,0.2900847,-27.59465724448156,0.0008938315141089983,43,0.0465552,-27.594658569936335,0.0007395482232293582,23,0.3371416,-27.594631242049143,0.0003311904041396474,201,0.1870924,-27.59463932161082,0.0009025452285780777,22,0.3919575,-30.732604710826067
63,40,20,-30.114064868163574,0.0009809744905152097,91,0.0940235,-30.113990995288294,0.0007971256125090084,35,0.3498685,-30.113493941937737,0.0009552243335077501,34,0.0438813,-30.113495025097336,0.0009516407955009742,18,0.4047029,-30.113445245786753,0.000986663896850648,191,0.1630946,-30.113457141566606,0.0009568925277517737,24,0.3947621,-33.03196196176974
63,40,21,-32.68087894305623,0.0007226747414050866,96,0.0984408,-32.68085826612024,0.0008431666278645071,43,0.4370688,-32.68030653909805,0.0009919882049394973,72,0.0592124,-32.68038529631704,0.0009136338420368305,26,0.4602375,-32.6803038327329,0.0009799318857268702,315,0.236558,-32.68032618033821,0.0009170322071219705,27,0.3707895,-35.36517364403496
